,Posted,Job Title,Company,LINK,Location
418,2022-12-08,JavaScript Fullstack Engineer,Binance,https://ro.linkedin.com/jobs/view/javascript-fullstack-engineer-at-binance-3363575039?refId=6k7PgHcyDiODRIMlbXpJHw%3D%3D&trackingId=p5BOpG6o9HjarYG0XU2esA%3D%3D&position=19&pageNum=16&trk=public_jobs_jserp-result_search-card,"Iaşi, Iaşi, Romania"
419,2022-11-14,Senior PHP (Symfony) Developer - Bexio team,Holycode,https://ro.linkedin.com/jobs/view/senior-php-symfony-developer-bexio-team-at-holycode-3394435250?refId=6k7PgHcyDiODRIMlbXpJHw%3D%3D&trackingId=7mB5o9BZo%2FRO4fF1zzVeEQ%3D%3D&position=20&pageNum=16&trk=public_jobs_jserp-result_search-card,Romania
420,2022-11-14,Remote Backend Python Engineer Jobs,Turing,https://ro.linkedin.com/jobs/view/remote-backend-python-engineer-jobs-at-turing-3390703105?refId=6k7PgHcyDiODRIMlbXpJHw%3D%3D&trackingId=JA2o9aOqtnB7UzdJJOueMw%3D%3D&position=21&pageNum=16&trk=public_jobs_jserp-result_search-card,Romania
421,2022-11-14,Remote Senior Python/Django Developer Jobs,Turing,https://ro.linkedin.com/jobs/view/remote-senior-python-django-developer-jobs-at-turing-3390720037?refId=6k7PgHcyDiODRIMlbXpJHw%3D%3D&trackingId=o%2Bov0%2F6Pln%2FW2HWUCr2hGQ%3D%3D&position=22&pageNum=16&trk=public_jobs_jserp-result_search-card,Romania
422,2022-11-29,Senior Backend Software Engineer,Emma – The Sleep Company,https://ro.linkedin.com/jobs/view/senior-backend-software-engineer-at-emma-%E2%80%93-the-sleep-company-3372364335?refId=6k7PgHcyDiODRIMlbXpJHw%3D%3D&trackingId=IiIi1bQPaAEGzAwilXigYQ%3D%3D&position=23&pageNum=16&trk=public_jobs_jserp-result_search-card,"Bucharest, Bucharest, Romania"
423,2022-12-09,Senior Software Engineer - App Stores Backend (Remote),Canonical,https://ro.linkedin.com/jobs/view/senior-software-engineer-app-stores-backend-remote-at-canonical-3390749993?refId=6k7PgHcyDiODRIMlbXpJHw%3D%3D&trackingId=WzvnV7u4wTenhH7aAsuLmw%3D%3D&position=24&pageNum=16&trk=public_jobs_jserp-result_search-card,"Timişoara, Timiş, Romania"
424,2022-11-29,Senior Full stack Developer,Luxoft,https://ro.linkedin.com/jobs/view/senior-full-stack-developer-at-luxoft-3379985161?refId=6k7PgHcyDiODRIMlbXpJHw%3D%3D&trackingId=mzD5jdajeTS9bpKdXtzrng%3D%3D&position=25&pageNum=16&trk=public_jobs_jserp-result_search-card,Romania
425,2022-12-07,Full Stack Developer CCSP,Enghouse Interactive,https://ro.linkedin.com/jobs/view/full-stack-developer-ccsp-at-enghouse-interactive-3266788228?refId=r%2B4x0euJ2pkV3cWuiPwRew%3D%3D&trackingId=75GlaTUc7csb8HDDH11jNg%3D%3D&position=1&pageNum=17&trk=public_jobs_jserp-result_search-card,Romania
426,2022-11-28,Senior FrontEnd (ReactJS) developer,Luxoft,https://ro.linkedin.com/jobs/view/senior-frontend-reactjs-developer-at-luxoft-3378418130?refId=r%2B4x0euJ2pkV3cWuiPwRew%3D%3D&trackingId=Iear3yvVQ3iyRNO13cefyA%3D%3D&position=2&pageNum=17&trk=public_jobs_jserp-result_search-card,Romania
427,2022-11-29,Senior FrontEnd (ReactJS) developer,Luxoft,https://ro.linkedin.com/jobs/view/senior-frontend-reactjs-developer-at-luxoft-3380259701?refId=r%2B4x0euJ2pkV3cWuiPwRew%3D%3D&trackingId=FQ0Z61bUR1Pk7P5AFZuWSw%3D%3D&position=3&pageNum=17&trk=public_jobs_jserp-result_search-card,Romania
428,2022-12-12,Golang FullStack Developer - Remote job,Bosch Romania,https://ro.linkedin.com/jobs/view/golang-fullstack-developer-remote-job-at-bosch-romania-3397775779?refId=r%2B4x0euJ2pkV3cWuiPwRew%3D%3D&trackingId=frzTqY23RQ%2FJ1uh%2FFWDZiA%3D%3D&position=4&pageNum=17&trk=public_jobs_jserp-result_search-card,"Timişoara, Timiş, Romania"
429,2022-11-25,Senior / Experienced QA Engineer,Ness Digital Engineering Romania,https://ro.linkedin.com/jobs/view/senior-experienced-qa-engineer-at-ness-digital-engineering-romania-3370660754?refId=r%2B4x0euJ2pkV3cWuiPwRew%3D%3D&trackingId=H1NmX1WTfcYQWk8FxIIwWw%3D%3D&position=5&pageNum=17&trk=public_jobs_jserp-result_search-card,"Timişoara, Timiş, Romania"
430,2022-11-16,Senior Frontend Developer,Core Recruit,https://ro.linkedin.com/jobs/view/senior-frontend-developer-at-core-recruit-3361941424?refId=r%2B4x0euJ2pkV3cWuiPwRew%3D%3D&trackingId=Wx9ZPJ86FSTFyLUjrzMv%2BQ%3D%3D&position=6&pageNum=17&trk=public_jobs_jserp-result_search-card,"Bucharest, Romania"
431,2022-11-22,Senior Backend Engineer- TypeScript,Maropost,https://ro.linkedin.com/jobs/view/senior-backend-engineer-typescript-at-maropost-3370874114?refId=r%2B4x0euJ2pkV3cWuiPwRew%3D%3D&trackingId=%2BdPFMdPCvTgwwqimiJ9GDA%3D%3D&position=7&pageNum=17&trk=public_jobs_jserp-result_search-card,Romania
432,2022-12-01,Senior Full Stack Developer (Backend),Fabric,https://ro.linkedin.com/jobs/view/senior-full-stack-developer-backend-at-fabric-3382755279?refId=r%2B4x0euJ2pkV3cWuiPwRew%3D%3D&trackingId=GjB1UD67JjH%2FA40VQCZXxw%3D%3D&position=8&pageNum=17&trk=public_jobs_jserp-result_search-card,"Bucharest, Romania"
