,Posted,Job Title,Company,LINK,Location
66,2022-11-21,React Native Developer,TOPMOTIVE Gruppe,https://ro.linkedin.com/jobs/view/react-native-developer-at-topmotive-gruppe-3365145911?refId=mFfZyI8QgVRuUIoBIKg3Uw%3D%3D&trackingId=wVV%2BPuSKHBRj8X91Qk%2Fslg%3D%3D&position=17&pageNum=2&trk=public_jobs_jserp-result_search-card,"Târgu Mureş, Mureş, Romania"
67,2022-12-07,Fullstack Software Engineer (Microsoft Teams),Microsoft,https://ro.linkedin.com/jobs/view/fullstack-software-engineer-microsoft-teams-at-microsoft-3388065201?refId=mFfZyI8QgVRuUIoBIKg3Uw%3D%3D&trackingId=%2BV00keJVdrHavpB3NnIjZw%3D%3D&position=18&pageNum=2&trk=public_jobs_jserp-result_search-card,"Braşov, Braşov, Romania"
68,2022-12-07,Fullstack Software Engineer (Microsoft Teams),Microsoft,https://ro.linkedin.com/jobs/view/fullstack-software-engineer-microsoft-teams-at-microsoft-3388064199?refId=mFfZyI8QgVRuUIoBIKg3Uw%3D%3D&trackingId=4gJuhMKp5RB20V5dBWnXpw%3D%3D&position=19&pageNum=2&trk=public_jobs_jserp-result_search-card,"Constanţa, Constanţa, Romania"
69,2022-12-07,Fullstack Software Engineer (Microsoft Teams),Microsoft,https://ro.linkedin.com/jobs/view/fullstack-software-engineer-microsoft-teams-at-microsoft-3388065197?refId=mFfZyI8QgVRuUIoBIKg3Uw%3D%3D&trackingId=NPIgXOuNLQs0D3EKwkj7sg%3D%3D&position=20&pageNum=2&trk=public_jobs_jserp-result_search-card,"Giurgiu, Giurgiu, Romania"
70,2022-11-25,Full-Stack .Net Developer,Smart Hub Solutions,https://ro.linkedin.com/jobs/view/full-stack-net-developer-at-smart-hub-solutions-3370651292?refId=mFfZyI8QgVRuUIoBIKg3Uw%3D%3D&trackingId=aiaD8iqMAxWuWGP%2Flwyq4g%3D%3D&position=21&pageNum=2&trk=public_jobs_jserp-result_search-card,"Bucharest, Romania"
71,2022-12-07,Fullstack Software Engineer (Microsoft Teams),Microsoft,https://ro.linkedin.com/jobs/view/fullstack-software-engineer-microsoft-teams-at-microsoft-3388060983?refId=mFfZyI8QgVRuUIoBIKg3Uw%3D%3D&trackingId=2V3Xy3xyX%2B16HzmmSfWKHQ%3D%3D&position=22&pageNum=2&trk=public_jobs_jserp-result_search-card,"Dîmboviţa, Romania"
72,2022-12-07,Fullstack Software Engineer (Microsoft Teams),Microsoft,https://ro.linkedin.com/jobs/view/fullstack-software-engineer-microsoft-teams-at-microsoft-3388062723?refId=mFfZyI8QgVRuUIoBIKg3Uw%3D%3D&trackingId=ifhv%2Bc3vs%2BkNEC4cXayI%2FQ%3D%3D&position=23&pageNum=2&trk=public_jobs_jserp-result_search-card,"Argeş, Romania"
73,2022-11-29,Full-Stack Developer,LSEG (London Stock Exchange Group),https://ro.linkedin.com/jobs/view/full-stack-developer-at-lseg-london-stock-exchange-group-3298398164?refId=mFfZyI8QgVRuUIoBIKg3Uw%3D%3D&trackingId=A4LJoU4bZhBWtXXe%2BT3Ivw%3D%3D&position=24&pageNum=2&trk=public_jobs_jserp-result_search-card,"Bucharest, Bucharest, Romania"
74,2022-12-07,Fullstack Software Engineer (Microsoft Teams),Microsoft,https://ro.linkedin.com/jobs/view/fullstack-software-engineer-microsoft-teams-at-microsoft-3388067133?refId=mFfZyI8QgVRuUIoBIKg3Uw%3D%3D&trackingId=wvplAr0Qbk9agP%2BtfXTNxg%3D%3D&position=25&pageNum=2&trk=public_jobs_jserp-result_search-card,"Olt, Romania"
75,2022-12-08,JavaScript Fullstack Engineer,Binance,https://ro.linkedin.com/jobs/view/javascript-fullstack-engineer-at-binance-3363575039?refId=2BhezzpF6%2F14RuLhRBecTw%3D%3D&trackingId=PpR3stLhNJzSXh%2BcuIFniA%3D%3D&position=1&pageNum=3&trk=public_jobs_jserp-result_search-card,"Iaşi, Iaşi, Romania"
76,2022-12-07,Fullstack Software Engineer (Microsoft Teams),Microsoft,https://ro.linkedin.com/jobs/view/fullstack-software-engineer-microsoft-teams-at-microsoft-3388060987?refId=2BhezzpF6%2F14RuLhRBecTw%3D%3D&trackingId=uLLlIDgsI5yQH43AJnANbw%3D%3D&position=2&pageNum=3&trk=public_jobs_jserp-result_search-card,"Galaţi, Galaţi, Romania"
77,2022-12-07,Fullstack Software Engineer (Microsoft Teams),Microsoft,https://ro.linkedin.com/jobs/view/fullstack-software-engineer-microsoft-teams-at-microsoft-3388064191?refId=2BhezzpF6%2F14RuLhRBecTw%3D%3D&trackingId=3KwlfvWzZL%2FLh38p3l4Cmw%3D%3D&position=3&pageNum=3&trk=public_jobs_jserp-result_search-card,"Sibiu, Sibiu, Romania"
78,2022-12-07,Fullstack Software Engineer (Microsoft Teams),Microsoft,https://ro.linkedin.com/jobs/view/fullstack-software-engineer-microsoft-teams-at-microsoft-3388060986?refId=2BhezzpF6%2F14RuLhRBecTw%3D%3D&trackingId=ZuuPN6lLOG62Tm9YeMNbtQ%3D%3D&position=4&pageNum=3&trk=public_jobs_jserp-result_search-card,"Harghita, Romania"
79,2022-12-07,Fullstack Software Engineer (Microsoft Teams),Microsoft,https://ro.linkedin.com/jobs/view/fullstack-software-engineer-microsoft-teams-at-microsoft-3388065199?refId=2BhezzpF6%2F14RuLhRBecTw%3D%3D&trackingId=2yF1dsZOClRtC7YX6zJ%2FpA%3D%3D&position=5&pageNum=3&trk=public_jobs_jserp-result_search-card,"Ialomiţa, Romania"
80,2022-11-28,Full Stack Java Developer,Generix Group,https://ro.linkedin.com/jobs/view/full-stack-java-developer-at-generix-group-3334279299?refId=2BhezzpF6%2F14RuLhRBecTw%3D%3D&trackingId=kKQpNiSNJyMnSW9B9RFMBw%3D%3D&position=6&pageNum=3&trk=public_jobs_jserp-result_search-card,"Cluj-Napoca, Cluj, Romania"
81,2022-12-07,Fullstack Software Engineer (Microsoft Teams),Microsoft,https://ro.linkedin.com/jobs/view/fullstack-software-engineer-microsoft-teams-at-microsoft-3388063592?refId=2BhezzpF6%2F14RuLhRBecTw%3D%3D&trackingId=NJcSSrfHME7qDU54y9%2FU%2FA%3D%3D&position=7&pageNum=3&trk=public_jobs_jserp-result_search-card,"Bihor, Romania"
82,2022-12-06,Angular Developer (with German),BBHT Solutions S.R.L.,https://ro.linkedin.com/jobs/view/angular-developer-with-german-at-bbht-solutions-s-r-l-3389289371?refId=2BhezzpF6%2F14RuLhRBecTw%3D%3D&trackingId=RfYIVFyeqQToy6509DHfOA%3D%3D&position=8&pageNum=3&trk=public_jobs_jserp-result_search-card,"Cluj-Napoca, Cluj, Romania"
83,2022-12-07,Fullstack Software Engineer (Microsoft Teams),Microsoft,https://ro.linkedin.com/jobs/view/fullstack-software-engineer-microsoft-teams-at-microsoft-3388063603?refId=2BhezzpF6%2F14RuLhRBecTw%3D%3D&trackingId=9xL1UOTRekRU%2FggfcR%2BW8Q%3D%3D&position=9&pageNum=3&trk=public_jobs_jserp-result_search-card,"Mehedinţi, Romania"
84,2022-12-07,Fullstack Software Engineer (Microsoft Teams),Microsoft,https://ro.linkedin.com/jobs/view/fullstack-software-engineer-microsoft-teams-at-microsoft-3388062731?refId=2BhezzpF6%2F14RuLhRBecTw%3D%3D&trackingId=JK7%2BEC5%2BZR2DtJgAVV4Cmg%3D%3D&position=10&pageNum=3&trk=public_jobs_jserp-result_search-card,"Cluj-Napoca, Cluj, Romania"
85,2022-12-07,Fullstack Software Engineer (Microsoft Teams),Microsoft,https://ro.linkedin.com/jobs/view/fullstack-software-engineer-microsoft-teams-at-microsoft-3388068019?refId=2BhezzpF6%2F14RuLhRBecTw%3D%3D&trackingId=A2kwJaV3thlFKQntCWBAvg%3D%3D&position=11&pageNum=3&trk=public_jobs_jserp-result_search-card,"Brăila, Brăila, Romania"
86,2022-12-13,PHP & Javascript Developer,Baboon Web Design,https://ro.linkedin.com/jobs/view/php-javascript-developer-at-baboon-web-design-3394918728?refId=2BhezzpF6%2F14RuLhRBecTw%3D%3D&trackingId=BrdGEIOcaepOpFgMwKmdhg%3D%3D&position=12&pageNum=3&trk=public_jobs_jserp-result_search-card,"Cluj-Napoca, Cluj, Romania"
